id,name,description,organisation_unit_level_id,parent_organisation_unit_id,archived,address,phone,email,latitude,longitude
89,Ikot Abasi,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
90,Ikot Ekpene,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
91,Ini,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
92,Itu,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
93,Mbo,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
94,Mkpat-Enin,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
95,Nsit-Atai,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
96,Nsit-Ibom,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
97,Nsit-Ubium,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
98,Obot Akara,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
99,Okobo,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
100,Onna,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
101,Oron,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
102,Oruk Anam,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
103,Udung-Uko,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
104,Ukanafun,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
105,Uruan,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
106,Urue-Offong/Oruko,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
107,Uyo,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
108,Aguata,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
109,Anambra East,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
110,Anambra West,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
111,Anaocha,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
112,Awka North,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
113,Awka South,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
114,Ayamelum,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
115,Dunukofia,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
116,Ekwusigo,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
117,Idemili North,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
118,Idemili South,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
119,Ihiala,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
120,Njikoka,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
121,Nnewi North,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
122,Nnewi South,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
123,Ogbaru,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
124,Onitsha North,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
125,Onitsha South,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
126,Orumba North,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
127,Orumba South,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
128,Oyi,Local government in Anambra State,3,5,0,NULL,NULL,NULL,NULL,NULL
129,Alkaleri,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
130,Bauchi,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
131,Bogoro,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
132,Damban,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
133,Darazo,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
134,Dass,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
135,Gamawa,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
136,Ganjuwa,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
137,Giade,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
138,Itas/Gadau,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
139,Jama'are,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
140,Katagum,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
141,Kirfi,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
142,Misau,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
143,Ningi,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
144,Shira,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
145,Tafawa Balewa,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
146,Toro,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
147,Warji,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
148,Zaki,Local government in Bauchi State,3,6,0,NULL,NULL,NULL,NULL,NULL
149,Brass,Local government in Bayelsa State,3,7,0,NULL,NULL,NULL,NULL,NULL
150,Ekeremor,Local government in Bayelsa State,3,7,0,NULL,NULL,NULL,NULL,NULL
151,Kolokuma/Opokuma,Local government in Bayelsa State,3,7,0,NULL,NULL,NULL,NULL,NULL
152,Nembe,Local government in Bayelsa State,3,7,0,NULL,NULL,NULL,NULL,NULL
153,Ogbia,Local government in Bayelsa State,3,7,0,NULL,NULL,NULL,NULL,NULL
154,Sagbama,Local government in Bayelsa State,3,7,0,NULL,NULL,NULL,NULL,NULL
155,Southern Ijaw,Local government in Bayelsa State,3,7,0,NULL,NULL,NULL,NULL,NULL
156,Yenagoa,Local government in Bayelsa State,3,7,0,NULL,NULL,NULL,NULL,NULL
157,Agatu,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
158,Apa,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
159,Ado,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
160,Buruku,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
161,Gboko,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
162,Guma,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
163,Gwer East,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
164,Gwer West,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
165,Katsina-Ala,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
166,Konshisha,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
167,Kwande,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
168,Logo,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
169,Makurdi,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
170,Obi,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
171,Ogbadibo,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
172,Ohimini,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
173,Oju,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
174,Okpokwu,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
175,Oturkpo,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
176,Tarka,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
177,Ukum,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
178,Ushongo,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
179,Vandeikya,Local government in Benue State,3,8,0,NULL,NULL,NULL,NULL,NULL
180,Abadam,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
181,Askira/Uba,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
182,Bama,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
183,Bayo,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
184,Biu,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
185,Chibok,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
186,Damboa,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
187,Dikwa,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
188,Gubio,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
189,Guzamala,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
190,Gwoza,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
191,Hawul,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
192,Jere,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
193,Kaga,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
194,Kala/Balge,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
195,Konduga,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
196,Kukawa,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
197,Kwaya Kusar,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
198,Mafa,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
199,Magumeri,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
200,Maiduguri,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
201,Marte,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
202,Mobbar,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
203,Monguno,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
204,Ngala,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
205,Nganzai,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
206,Shani,Local government in Borno State,3,9,0,NULL,NULL,NULL,NULL,NULL
207,Abi,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
208,Akamkpa,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
209,Akpabuyo,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
210,Bakassi,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
211,Bekwarra,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
212,Biase,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
213,Boki,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
214,Calabar Municipal,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
215,Calabar South,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
216,Etung,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
217,Ikom,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
218,Obanliku,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
219,Obubra,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
220,Obudu,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
221,Odukpani,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
222,Ogoja,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
223,Yakuur,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
224,Yala,Local government in Cross River State,3,10,0,NULL,NULL,NULL,NULL,NULL
225,Aniocha North,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
226,Aniocha South,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
227,Bomadi,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
228,Burutu,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
229,Ethiope East,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
230,Ethiope West,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
231,Ika North East,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
232,Ika South,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
233,Isoko North,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
234,Isoko South,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
235,Ndokwa East,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
236,Ndokwa West,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
237,Okpe,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
238,Oshimili North,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
239,Oshimili South,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
240,Patani,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
241,Sapele,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
242,Udu,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
243,Ughelli North,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
244,Ughelli South,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
245,Ukwuani,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
246,Uvwie,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
247,Warri North,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
248,Warri South,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
249,Warri South West,Local government in Delta State,3,11,0,NULL,NULL,NULL,NULL,NULL
250,Abakaliki,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
251,Afikpo North,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
252,Afikpo South,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
253,Ebonyi,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
254,Ezza North,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
255,Ezza South,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
256,Ikwo,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
257,Ishielu,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
258,Ivo,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
259,Izzi,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
260,Ohaozara,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
261,Ohaukwu,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
262,Onicha,Local government in Ebonyi State,3,12,0,NULL,NULL,NULL,NULL,NULL
263,Akoko-Edo,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
264,Egor,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
265,Esan Central,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
266,Esan North-East,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
267,Esan South-East,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
268,Esan West,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
269,Etsako Central,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
270,Etsako East,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
271,Etsako West,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
272,Igueben,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
273,Ikpoba Okha,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
274,Orhionmwon,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
275,Oredo,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
276,Ovia North-East,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
277,Ovia South-West,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
278,Owan East,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
279,Owan West,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
280,Uhunmwonde,Local government in Edo State,3,13,0,NULL,NULL,NULL,NULL,NULL
281,Ado Ekiti,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
282,Efon,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
283,Ekiti East,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
284,Ekiti South-West,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
285,Ekiti West,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
286,Emure,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
287,Gbonyin,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
288,Ido Osi,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
289,Ijero,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
290,Ikere,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
291,Ikole,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
292,Ilejemeje,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
293,Irepodun/Ifelodun,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
294,Ise/Orun,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
295,Moba,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
296,Oye,Local government in Ekiti State,3,14,0,NULL,NULL,NULL,NULL,NULL
297,Aninri,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
298,Awgu,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
299,Enugu East,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
300,Enugu North,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
301,Enugu South,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
302,Ezeagu,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
303,Igbo Etiti,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
304,Igbo Eze North,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
305,Igbo Eze South,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
306,Isi Uzo,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
307,Nkanu East,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
308,Nkanu West,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
309,Nsukka,Local government in Enugu State,3,15,0,NULL,NULL,NULL,NULL,NULL
